RABDN,RPRU,RWTB,RFTSE,covidr
0.014494136,-0.00915336,-0.030036969,-0.005133326,1
0.00803647,-0.023771631,0.012386851,-0.00532429,1
0.031842976,-0.001349161,0.013176471,0.002275788,1
0.029595156,0.018510353,0.007895959,0.003855803,1
0.003335235,0.006650578,0.00875576,0.006916159,1
0.017845427,0.019810768,0.056190041,0.001177868,1
-0.006102015,-0.009932794,-0.000865052,-0.000620174,1
0.006571836,0.006978304,0.017316017,0.005344545,1
0.010996091,0.007361941,0.022553191,0.006460322,1
0.015337554,0.002153131,-0.037453184,-0.002537957,1
-0.028621642,-0.023169982,-0.017293558,-0.00527712,1
0.010209356,-0.016245026,-0.012318522,-0.005804302,1
-0.012536779,-0.037052843,-0.029844098,-0.017276995,1
0.01312778,0.018545637,0.021120294,0.014926653,1
-0.002429564,0,0.013938849,-0.005900756,1
0.003247308,-0.004549625,0.02616408,0.000776597,1
-0.030706985,-0.027897607,-0.021175454,-0.019140056,1
0.004569621,0.01082048,0.027373068,0.001584004,1
0.006648296,0.004187094,0.025354534,0.012899156,1
-0.039191831,-0.021782254,-0.059513831,-0.011649614,1
-0.034730701,-0.052104662,-0.019607843,-0.010880506,1
-0.02492387,-0.040876094,-0.030454545,-0.025517587,1
-0.005477346,-0.026268204,-0.015002344,-0.000188078,1
0.0293734,0.008995986,0.021894336,-0.000802616,1
0.002205848,0.015902929,0.000465766,0.013931547,1
0.026646062,0.055022185,0.034450652,0.023306932,1
0.013456188,0.024246039,0.03330333,0.016674241,1
0.022639301,0.011595105,0.036585366,0.003895799,1
-0.006293737,0.00239168,-0.021848739,0.000650166,1
0.08490566,0.178650985,0.155498282,0.046746035,1
0.034496836,0.024258307,-0.000371747,0.017871778,1
-0.024704025,0.000393636,-0.002231313,0.013538515,1
-0.01230072,-0.009074663,0.000745434,-0.006762664,1
0.014010651,-0.005575732,0.03575419,-0.003557377,1
0.021452812,0.031628774,0.098166127,0.016607588,1
0.011628367,0.009700909,0.014079895,-0.00871476,1
0.013762365,-0.00115005,0.007426542,0.003127882,1
-0.011377222,-0.016167205,-0.020192308,-0.007969943,1
-0.002964812,-0.001170294,-0.017991495,0.002699567,1
0.006690664,-0.009397732,0.026315789,-0.002772595,1
0.030238253,-0.006324591,0.066861409,0.015524548,1
-0.010374618,-0.029038578,-0.036811682,-0.006386647,1
-0.023863983,-0.001225908,0.008528111,-0.004406134,1
0.004452082,-0.005744971,-0.009708738,0.000730795,1
-0.000388802,-0.035063354,-0.041429475,-0.015922847,1
0.035083625,0.043604961,0.040250742,0.018917396,1
0.00961972,0.0065552,0.01649223,0.01232002,1
0.018386184,-0.012610586,0.04024961,0.004158808,1
0.004129815,0.027205057,-0.00869826,0.009238445,1
-0.015177434,0.014843353,-0.040544629,0.000787759,1
-0.008426343,0.014634467,-0.009776096,0.000523234,1
-0.001043608,0.005450275,0.003503185,0.000833991,1
-0.011715544,0.006202025,-0.027292923,0.005403479,1
-0.015025672,0.000768473,0.005220228,-0.00803211,1
0.013108471,0.010782361,0.007789679,-0.002278993,1
0.030493341,0.009140044,0.015458937,-0.002833815,1
0.007342683,0.017730274,0.014906438,0.008841881,1
-0.002769881,-0.013715202,-0.0125,-0.003020891,1
-0.007309407,0.007140458,-0.026898734,-0.003339918,1
-0.02164789,-0.019407836,-0.024390244,-0.017285478,1
0.012869722,0.010655381,0.005666667,0.005741609,1
0.019728043,0.021093909,0.040106066,0.006599867,1
0.001712391,-0.001839687,0.024219248,0,1
0.012111733,0.022907915,-0.02022402,0.016456914,1
-0.0228555,-0.010472973,0.003175611,-0.007092607,1
-0.018167776,-0.016433367,-0.018676796,-0.014536702,1
0.019927333,0.027468586,-0.026451613,0.017237003,1
0.001028315,-0.003250751,0.009940358,0.006142839,1
0.057453131,0.050743031,0.030839895,0.034724942,1
0.0082226,-0.006551783,-0.008911521,0.002207002,1
-0.004542326,-0.006948553,-0.009312781,0.002377147,1
-0.021674502,-0.006641139,-0.018800648,-0.010879844,1
0.01074167,0.005281136,0.022464486,-0.006526459,1
0.006292606,-0.009451741,-0.011308562,-0.001271818,1
0.015181518,0.012369983,0.043137255,0.008367035,1
-0.011703511,-0.001052097,-0.007205514,-0.00973984,1
-0.009210526,-0.006638823,-0.008835595,-0.002235844,1
-0.010589222,0.009498322,-0.012098058,-0.001145723,1
0.036205009,-0.009756628,0.01579117,0.004087622,1
0.004192801,0.00386942,0.009200508,-0.003704533,1
-0.00804508,-0.021735329,-0.018861993,-0.003030339,1
-0.016254876,-0.027238397,-0.027555271,-0.008397224,1
0.016836539,0.011416364,-0.032948929,0.002283528,1
0.005542062,-0.022945955,-0.015332198,-0.01302072,1
0.004490865,-0.078303451,-0.008304498,-0.006276485,1
-0.02892464,-0.051371936,-0.02756455,-0.018186833,1
0.006626905,0.001701449,0.022604952,0.009201774,1
0.03090676,0.019586507,0.058245614,0.007767822,1
-0.003495446,0.008763481,-0.00729443,-0.001354991,1
0.012479342,0.016557573,0.042084168,-0.000630011,1
-0.008228122,-0.006515154,0.051282051,-0.00221258,1
0.007355905,0.017212305,-0.024085366,0.00527019,1
0.008835984,0.024180112,-0.000312402,0.001230929,1
-0.003139873,0.019276517,-0.005,-0.00110234,1
-0.001889858,-0.00425078,0.019158291,0.000668265,1
0.00820489,0.029455591,-0.011710324,0.009354054,1
0.035353036,0.035020734,0.071094481,0.025239044,1
-0.002736762,0.015640355,-0.001746725,-0.001073103,1
-0.021794626,0.002151018,-0.018372703,-0.005624654,1
-0.007111401,-0.011794064,-0.000297089,-0.01396981,1
0.018070112,0.024230399,0.015750371,0.001038211,1
-0.000903605,0.007411212,0.033937975,-0.001778376,1
-0.015342873,-0.004552407,-0.009903792,0.002071915,1
0.017123737,0.007748875,0.018862532,0.004984953,1
-0.014706831,0.013621446,-0.028892006,-0.001052715,1
-0.034468085,-0.028954155,-0.019352975,-0.02533539,1
0.024138048,0.032303516,0.020029455,0.016210555,1
0.003442683,0.020630712,-0.016459717,0.003827864,1
0.027875829,0.000336078,0.055490311,0.009332073,1
-0.028628282,-0.00606137,-0.016133519,-0.003683636,1
-0.017247076,-0.003387181,-0.035057959,-0.003061249,1
0.01785234,0.026525349,0.042777615,0.013363959,1
-0.071775392,0.024841856,-0.017420624,0.001668371,1
-0.020959362,-0.019719521,-0.016299685,-0.000704273,2
0.012430487,0.002966729,0.002325581,0.001689069,2
-0.004092623,0.012166547,0.003770302,0.003638139,2
-0.029739375,0.00357032,0.000577868,-0.001740746,2
0.016904443,0.010033962,0.006930407,0.007987022,2
-0.021153776,-0.015061224,-0.013765414,-0.006017394,2
0.021984174,0.015616022,-0.004652515,0.002515279,2
-0.006245207,-0.01985556,-0.032427695,-0.010468046,2
0.02616685,-0.001962622,0.00513285,0.002592153,2
-0.027899148,0.012438505,-0.024632022,-0.004000833,2
0.011899937,0.004852444,0.031105636,0.002045023,2
0.010376465,0.012587534,0.012246117,-0.005669689,2
-0.01506252,-0.000323657,0.016524048,0.009851936,2
-0.007646435,-0.013419582,-0.008127721,-0.000655729,2
0.01681168,0.022027258,0.008779631,0.005336861,2
-0.002429297,-0.023452858,-0.006092254,-0.008636882,2
0.013811653,0.007139742,0.018680677,0.003525663,2
0.007134406,-0.001292566,0.00286533,0.012801864,2
0.011177559,0.011294573,0.001142857,0.009052473,2
0.009997888,-0.01116843,-0.010273973,0.008263959,2
-0.002649007,0.005163615,-0.000576701,-0.003812901,2
-0.017578808,-0.00321234,-0.00577034,-0.003850631,2
-0.010778699,0.004834038,0.002031341,0.000198864,2
-0.005142405,-0.000318068,0.026643498,0.007124312,2
0.002819447,0.007052756,-0.00112835,0.006328913,2
0.016148218,-0.011466033,-0.003388873,0.005159304,2
-0.018658437,0.000972134,-0.002833664,-0.002770841,2
-0.028483644,-0.035714523,-0.048025007,-0.020029771,2
-0.00472523,-0.004007947,0.007462687,0.005163363,2
-0.002542056,-0.000671834,0.010666667,0.00622889,2
-0.006558729,0.012406088,-0.002345353,4.61E-05,2
0.020183348,0.009933321,0.002350867,0.003539639,2
-0.01294283,-0.002291137,-0.033421284,-0.00260659,2
-0.004008692,0.010843349,0.005459509,0.002692596,2
0.003648674,-0.008125928,-0.012066365,-0.000314489,2
0.012405367,0.005895347,-0.009465649,0.001196585,2
-0.028097583,-0.012381774,-0.010789149,-0.006691718,2
0.014093091,0.01122055,0.006544095,0.016774108,2
0.014235276,0.017942543,0.00619195,0.005237737,2
0.00507351,0.012179364,0.012923077,0.00756624,2
-0.0082535,0.004117867,-0.031591738,-0.000845757,2
-0.037264081,-0.041629178,-0.042973651,-0.024662815,2
-0.005634238,0.00361922,0.001966568,0.008151998,2
-0.006403539,-0.032455516,0.00163559,-0.0058961,2
0.031911569,0.026426224,0.038536904,0.011528967,2
-0.012869526,-0.012545304,-0.029874214,-0.001527626,2
0.002952567,0.003013735,-0.000324149,0.000197644,2
-0.015254626,-0.016001985,-0.015888457,-0.011947275,2
0.017781574,0.011856988,0.01383855,0.010012662,2
-0.006332253,0.002678609,0.004549886,-0.000247871,2
0.005259319,0.005674248,0.019087674,0.004779105,2
-0.003742458,0.006308044,-0.002857143,-0.003091501,2
-0.008931309,-0.014515095,0.015600127,-0.00040684,2
0.025952427,0.004353604,0.004075235,-0.001033168,2
0.009198522,0.000661581,-0.006556353,0.000418823,2
-0.006200971,-0.003326378,0.024512885,0.008237678,2
0.002556007,0.011359867,-0.005214724,0.003889578,2
0.016084283,-0.016520456,-0.015109467,-0.006140968,2
-0.001808051,-0.009746711,0.012210394,0.000663897,2
-0.008280349,0.001017237,-0.000927931,0.001157159,2
0.014537051,-0.003385008,0.034055728,0.002525003,2
-0.00933206,-0.012587462,-0.002694611,-0.001984471,2
0.005785492,0.014813232,-0.014710297,0.001012567,2
0.021902655,0.010863539,0.010054845,0.006472748,2
0.000360828,-0.002686698,-0.018099548,0.001768979,2
0.00631222,0.011109874,0.002457757,0.003610068,2
-0.003154235,0.00166607,0.008274594,0.00173859,2
-0.011901765,-0.011306308,0.019148936,-0.004386948,2
-0.033296943,-0.028244896,-0.045034298,-0.019006267,2
0.00696405,0.007962171,0.006870706,0.006386917,2
0.005831776,-0.014762347,0.012406948,0.003925072,2
-0.008696945,-0.005229832,-0.004289216,-0.002249644,2
0.008060888,0.010862245,0,0.005076293,2
0.008293971,0.004849813,-0.016615385,0.003670902,2
0.001106603,-0.02413916,-0.03097622,-0.008842402,2
-0.016138541,0.007064376,0.006780756,0.002061369,2
-0.012059022,-0.036140471,0.001282874,-0.007065911,2
0.01368461,0.013833174,0.02178091,0.012460444,2
-0.00220635,-0.000712658,0.004075235,-0.000265257,2
0.013867026,0.012212969,0.01155167,0.00584563,2
-0.010091675,-0.016329676,-0.005555556,-0.008936609,2
0.018559319,0.005416698,-0.00744879,0.007061097,2
-0.011438627,-0.036614325,-0.035959975,-0.016831165,2
0.024217475,0.027568517,0.017191048,0.0129746,2
-0.001774269,-0.001806583,-0.03125,0.00049706,2
0.007073418,-0.012714028,-0.018762344,-9.82E-05,2
-0.013002918,-0.01103699,-0.015095606,-0.00470615,2
-0.0109846,0.016367216,-0.021117166,-0.011164558,2
-0.00036899,-0.003291863,0.017397356,-0.000560466,2
-0.036654239,-0.040399669,-0.029753762,-0.023358718,2
0.020499655,0.008418521,0.00070497,0.0053679,2
0.032553599,0.037951543,0.06093695,0.01702482,2
0.003163636,-0.008413398,0.005312085,-0.00428391,2
0.007793526,0.006274014,0.001651255,0.008507096,2
-0.001762463,0.001462132,0.017804154,-0.000305937,2
-0.004576082,-0.021952917,-0.017168772,-0.00417768,2
0.000361978,0.004114781,0.012195122,0.002937359,2
0.013750181,0.024217775,0,0.008806222,2
-0.013206739,-0.013093573,-0.008140671,-0.006515578,2
0.014070752,0.005159078,0.012147078,0.007027573,2
-0.004494382,0.010636685,-0.001946156,0.003389007,2
0.028951234,0.010157158,0.004224894,0.002552873,2
0.013545983,-0.001797132,0.046601942,-0.000481481,2
-0.001683502,0.026626096,-0.011131725,0.000353911,2
-0.002684379,-0.002449346,-0.001563477,0.001312658,2
-0.023154698,0.020027895,0.001565925,0.004029556,2
0.009608591,0.026179539,-0.007817386,0.008252991,2
-0.015990203,0.005704728,-0.012921525,-0.003727075,2
-0.011414145,0.013684073,-0.003831418,0.00354222,2
-0.024530609,-0.038523854,-0.006410256,-0.008966976,2
-0.014712389,0.007880371,-0.024516129,0.003792295,2
0.001459526,0.006111697,0.004960317,-0.001641807,2
-0.016816143,-0.019969278,-0.014478447,-0.015407319,2
0.003420753,0.005179538,0.013021703,0.004113979,2
-0.001136364,0.027848065,0.003625577,0.002979726,2
0.003792188,0.017053291,0.045320197,0.002357568,2
0.011333585,0.014143428,0.00628338,0.003415766,2
-0.011953679,-0.006812636,-0.012488292,-0.003516025,2
0.01020794,-0.00293492,0.014227,0.00323229,2
-0.006362275,-0.007858493,0,-0.003960543,2
0.002259887,0.007784643,0.006546135,0.004233324,2
-0.004133784,0.037474679,0.007122948,0.001966478,2
-0.005283019,0.000325415,-0.014145141,-0.003566493,2
0.008345979,0.010735198,-0.006862133,0.006840516,2
-0.001504891,-0.000643708,0.023869347,-0.005260756,2
-0.020723436,-0.013848631,-0.002760736,-0.007530733,2
-0.009234321,-0.030372306,0.012611504,-0.010051399,2
-0.000776699,-0.000336814,-0.010328068,0.0007104,2
0.016323358,-0.003369272,0.010742787,0.005581005,2
-0.011472275,-0.018593644,-0.002429396,-0.004862466,2
0.007350097,-0.000344471,-0.02891933,-0.002497846,2
0.004608295,0.007580979,0.026959248,0.00156631,2
-0.018730887,-0.01128591,0,-0.009084337,2
-0.041293339,-0.083708059,-0.007631258,-0.008577411,2
-0.002031694,0.029445074,0.019071055,0.011163239,2
0.028094463,0.042170884,0.009658919,0.014666995,2
0.007524752,-0.021815623,-0.002092676,-0.000708702,2
-0.007861635,0.001438849,0.010485321,-0.003796082,2
-0.00118859,0.02658046,0.019270679,0.001690425,2
-0.007140024,-0.005598321,-0.02530541,-0.004997593,2
0.018777467,0.018648839,0.010444643,0.011391414,2